Key,,,Your Item Count,,,,,Item's Needed,,,,,Total Item Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,No More Items Needed,,Item,# Acquired,Item,# Acquired,,Item,# Needed,Item,# Needed,,Item,# Required,Item,# Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Garlic,0,Void Mayonnaise,0,,Garlic,2,Void Mayonnaise,1,,Garlic,2,Void Mayonnaise,1,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Green Algae,0,Wheat Flour,0,,Green Algae,5,Wheat Flour,23,,Green Algae,5,Wheat Flour,23,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Green Bean,0,White Algae,0,,Green Bean,2,White Algae,2,,Green Bean,2,White Algae,2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hazelnut,0,Wild Plum,0,,Hazelnut,4,Wild Plum,1,,Hazelnut,4,Wild Plum,1,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hot Pepper,0,Winter Root,0,,Hot Pepper,2,Winter Root,1,,Hot Pepper,2,Winter Root,1,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kale,0,Yam,0,,Kale,2,Yam,2,,Kale,2,Yam,2,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Largemouth Bass,0,,,,Largemouth Bass,1,,,,Largemouth Bass,1,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Leek,0,,,,Leek,1,,,,Leek,1,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lobster ,0,,,,Lobster ,1,,,,Lobster ,1,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Maple Syrup,0,,,,Maple Syrup,1,,,,Maple Syrup,1,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mayonnaise,0,,,,Mayonnaise,2,,,,Mayonnaise,2,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Melon,0,,,,Melon,2,,,,Melon,2,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
