,,,,,,,,,,,,,,,,,,,
,Melon,80,12,"250, 312, 375","275, 343, 412",14.17,750,1050,550,770,2,0,15,6 (5 gold),23+,1840,"Demetrius ""crop research"" Summer 20, Help wanted",Penny,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
,Poppy,100,7,"140, 175, 210","154, 192, 231",5.71,-,-,-,-,1,1 (seed),0,1,3+,300,Bee house,Penny,-
,Radish,40,6,"90, 112, 135","99, 123, 148",8.33,202,282,230,322,2,0,15,0,17+,680,Help wanted,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
,Red cabbage,100 (year 2),9,"260, 325, 390","286, 357, 429",17.78,585,819,570,798,3,0,15,1,19+,1900,Help wanted (year 2+),-,"NOT Abigail, Haley, Jas, Sam, Vincent"
,Starfruit,400 (oasis),13,"750, 937, 1125","825, 1031, 1237",26.92,2250,3150,1550,2170,0,0,15,0,25+,10000,"Kent ""soldier's star"" 15 summer, year 2; Junimo Hut (9)",-,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
,Summer Spangle,50,8,"90, 112, 135","99, 123, 148",5,-,-,-,-,0,1 (seed),0,0,1+,50,Bee house,Caroline,"NOT Clint, George, Sebastian"
,Sunflower,200,8,"80, 100, 120","88, 110, 132",-15 (SUMMER & FALL) ,-,-,-,-,0,0,0,1,1+,200,Oil,Haley,"NOT Clint, George, Sebastian"
,Tomato,50,11 (regrow: 4),"60, 75, 90","66, 82, 99",8.93 (28 days),135,189,170,238,6,0,15,1,22+,1100,Help wanted,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
,Wheat,10,4,"25, 31, 37","27, 33, 40",3.75 (SUMMER & FALL),200,280,100,140,21,0,15,10,46+,460,Help wanted,-,-
FORAGING,,,,,,,,,,,,,,,,,,,
,Crop,Location,,Sells for,,Keg/Jar,Artisan Keg/Jar,,# for recipes,,# for crafting,# for bundles,Total # needed,Other needs,,Loves,Likes,,
,Fiddlehead fern,Secret woods,,"90, 112, 135, 180                          (Tiller: 99, 123, 148, 198)",,202 / 230,282 / 322,,1,,0,1,2,-,,-,"NOT Abigail, haley, Jas, Sam, Vincent",,
,Grape,"above ground, Stardew Valley",,"80, 100, 120, 160",,240 / 210,336 / 294,,0,,1,1,1+,Help wanted,,Vincent,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane",,
,Rainbow Shell,Beach (summer only),,"300, 375, 450, 600",,-,-,,0,,0,0,1,The Mysterious Qi quest,,-,-,,
,Red mushroom,"The mines (level 27+), Secret woods",,"75, 93, 112, 150",,-,-,,0,,1,2,2+,Help wanted (any season),,-,-,,
,Spice berry,"above ground, Stardew Valley",,"80, 100, 120, 160",,240 / 210,336 / 294,,0,,1,1,1+,Help wanted,,-,"Demetrius, Elliott, Kent, Leah, Linus, Pam, Robin, Sandy, Shane",,
,Sweet pea,"above ground, Stardew Valley",,"50, 62, 75, 100",,-,-,,0,,1,1,1+,Help wanted,,Sandy,"NOT Clint, George, Sebastian",,
,Cave carrot,Mines (ALL SEASONS),,25,,-,-,,5,,0,1,6+,Help wanted,,-,-,,
,Coconut,Desert (ALL SEASONS),,"100, 125, 150, 200",,300 / 250,420 / 350,,1,,0,1,3+,"Gus ""exotic spirits"" (19 winter, year 2)",,"Haley, Linus","Demetrius, Elliott, Harvey, Jas, Jodi, Kent, Leah, Lewis, Pam, Robin, Sandy, Shane, VIncent",,
FISH,,,,,,,,,,,,,,,,,,,
,Fish,Locations,,Time,Seasons,Weather,Sells for,,Fisher,,Angler,Difficulty,Behavior,# for recipes,# for bundles,Other needs,,Loves,Likes
,Carp,"Mountain Lake, Sewers, Secret woods pond",,-,"Spring, Summer, Fall, (Winter SWP)",-,sashimi,,sashimi,,sashimi,15,Mixed,4-7,1,"Help wanted (sp, su, fa)",,-,-
,Catfish,secret woods pond (+summer),,-,"Spring, Fall",Rain,"200, 250, 300",,"250, 312, 375",,"300, 375, 450",75,Mixed,0-3,1,"Luau (summer 11, gold star); Help wanted (sp, fa, wi)",,Willy,-
,Crimsonfish,Ocean (East pier),,-,Summer,-,"1500, 1875, 2250",,"1875, 2343, 2812",,"2250, 2812, 3375",95,Mixed,0,0,-,,-,-
,Dorado,Forest river,,6am - 7pm,Summer,-,"100, 125, 150",,"125, 156, 187",,"150, 187, 225",78,Mixed,0-3,0,-,,-,-
,Halibut,Ocean,,"6am - 11am, 7pm - 2am","Spring, Summer, Winter",-,"80, 100, 120",,"100, 125, 150",,"120, 150, 180",50,Sinker,0-3,0,-,,-,-
,Octopus,Ocean,,6am - 1pm,Summer,-,"150, 187, 225",,"187, 234, 281",,"225, 281, 337",95,Sinker,0-3,0,Help wanted,,Willy,Elliott
,Pike,"River (town+forest), Forest pond",,-,"Summer, Winter",-,"100, 125, 150",,"125, 156, 187",,"150, 187, 225",60,Dart,0-3,0,Help wanted,,-,-
,Pufferfish,Ocean,,12pm - 4pm,Summer,Sun,"200, 250, 300",,"250, 312, 375",,"300, 375, 450",80,Floater,0-3,1,"Demetrius ""aquatic research"" 6 summer, year 2; Help wanted",,Pufferfish,-
,Rainbow Trout,"River (town+forest), Mountain lake",,6am - 7pm,Summer,Sun,"65, 81, 97",,"81, 101, 121",,"97, 121, 146",45,Mixed,1-4,0,Help wanted,,-,-
,Red mullet,Ocean,,6am - 7pm,"Summer, Winter",-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",55,Smooth,0-3,0,Help wanted,,-,-
,Red snapper,Ocean,,6am - 7pm,"Summer, Fall, Winter",Rain,"50, 62, 75",,"62, 78, 93",,"75, 93, 112",40,Mixed,0-3,1,Help wanted,,-,-
,Shad,River (town+forest),,9am - 2am,"Spring, Summer, Fall",Rain,"60, 75, 90",,"75, 93, 112",,"90, 112, 135",45,Smooth,0-3,1,-,,-,-
,Sturgeon,Mountain lake,,6am - 7pm,"Summer, Winter",-,"200, 250, 300",,"250, 312, 375",,"300, 375, 450",78,Mixed,0-3,1,-,,Willy,-
,Sunfish,River (town+forest),,6am - 7pm,"Spring, Summer",Sun,sashimi,,sashimi,,sashimi,30,Mixed,1-4,1,Help wanted,,-,-
,Super Cucumber,Ocean,,6pm - 2am,"Summer, Fall",-,"250, 312, 375",,"312, 390, 468",,"375, 468, 562",80,Sinker,0-3,0,Help wanted,,Wizard,-
,Tilapia,Ocean,,6am - 2pm,"Summer, Fall",-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",50,Mixed,0-3,1,-,,-,-
,Tuna,Ocean,,6am - 7pm,"Summer, Winter",-,"100, 125, 150",,"125, 156, 187",,"150, 187, 225",70,Smooth,1-4,1,Help wanted,,-,-
,Bream,River (town+forest),,6pm - 2am,-,-,sashimi,,"56, 70, 84",,"67, 84, 101",35,Smooth,1-4,1,Help wanted (any season),,-,-
,Bullhead,Mountain Lake,,-,-,-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",46,Smooth,0-3,1,-,,-,-
,Chub,"River (forest), Mountain lake",,-,-,-,"50, 62, 75",,"62, 78, 93",,"75, 93, 112",35,Dart,0-3,1,Help wanted (any season),,-,-
,Ghostfish,"Mines (20, 60, 100), Ghost drops",,-,-,-,sashimi,,"56, 70, 84",,"67, 84, 101",50,Mixed,0-3,1,-,,-,-
,Ice Pip,Mines (60; level 5 fishing),,-,-,-,"500, 625, 750",,"625, 781, 937",,"750, 937, 1125",85,Dart,0-3,0,-,,-,-
,Largemouth Bass,Mountain lake,,6am - 7pm,-,-,"100, 125, 150",,"125, 156, 187",,"150, 187, 225",50,Mixed,1-4,1,"Jodi quest (4+ <3), Help wanted (any season)",,-,-
,Lava Eel,"Mines (100, level 7 fishing)",,-,-,-,"700, 875, 1050",,"875, 1093, 1312",,"1050, 1312, 1575",90,Mixed,0-3,0,-,,-,-
,Mutant Carp,The sewers,,-,-,-,"1000, 1250, 1500",,"1250, 1562, 1875",,"1500, 1875, 2250",80,Dart,0,0,-,,-,-
,Sandfish,Desert,,6am - 8pm,-,-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",65,Mixed,0-3,1,-,,Penny,-
,Scorpion Carp,Desert (level 4 fishing),,6am - 10pm,-,-,"150, 187, 225",,"187, 234, 281",,"225, 281, 337",90,Dart,0-3,0,-,,-,-
,Slimejack,Mutant bug lair,,6am - 2pm,-,-,"100, 125, 150",,"125, 156, 187",,"150, 187, 225",55,Dart,0-3,0,-,,-,-
,Stonefish,"Mines (20, level 3 fishing)",,-,-,-,"300, 375, 450",,"375, 468, 562",,"450, 562, 675",65,Sinker,0-3,0,-,,-,-
,Void Salmon,Witch's swamp,,-,-,-,"150, 187, 225",,"187, 234, 281",,"225, 281, 337",80,Mixed,0-3,0,-,,-,-
,Woodskip,Secret Woods,,-,-,-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",50,Mixed,0-3,1,-,,-,-
