,,,,,,,,,,,,,,,,,,,
,Cranberries,240,5,"75, 93, 112","82, 102, 123",18.21 (28 days),225,315,200,280,4,0,15,0,19,4560,-,-,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
,Eggplant,20,5 (regrow: 5),"60, 75, 90","66, 82, 99",10 (28 days),135,189,170,238,2,0,15,1,18+,360,Help wanted,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
,Fairy rose,200,12,"290, 362, 435","319, 398, 478",7.5,-,-,-,-,0,0,0,0,0+,0,Bee house (most profitable),"Evelyn, Jas","NOT Clint, George, Sebastian"
,Grape,60,3,"80, 100, 120","88, 110, 132",15 (28 days),240,336,210,294,0,0-1,15,1 (su),15+,900,-,Vincent,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
,Pumpkin,100,13,"320, 400, 480","352, 440, 528",16.92,720,1008,690,966,3,1,15,6 (5 gold),26+,2600,"Caroline ""carving pumpkins"" 19 fall; Help wanted","Abigail, Krobus, Willy","NOT Haley, Jas, Sam, Vincent"
,Sunflower,200,8,"80, 100, 120","88, 110, 132",-15 (SUMMER & FALL) ,-,-,-,-,0,0,0,1,1+,200,Oil,Haley,"NOT Clint, George, Sebastian"
,Sweet gem berry,600-1000 (traveling cart),24,"3000, 3750, 4500",-,83.33,-,-,-,-,0,0,0,0,0,,Give to Old Master Cannoli in secret woods to get Stardrop,-,-
,Wheat,10,4,"25, 31, 37","27, 33, 40",3.75 (SUMMER & FALL),200,280,100,140,21,0,15,10,46+,460,Help wanted,-,-
,Yam,60,10,"160, 200, 240","176, 220, 264",10,360,504,370,518,2,0,15,1,18+,1080,Help wanted,Linus,"NOT Abigail, Haley, Jas, Sam, Vincent"
FORAGING,,,,,,,,,,,,,,,,,,,
,Crop,Location,,Sells for,,Keg/Jar,Artisan Keg/Jar,,# for recipes,,# for crafting,# for bundles,Total # needed,Other needs,,Loves,Likes,,
,Blackberry,Above ground Stardew Valley; bushes during season (fall 8-11),,"20, 25, 30, 40",,60 / 90,84 / 125,,2,,1,1,3+,Help wanted,,-,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane",,
,Chanterelle,Secret woods,,"160, 200, 240, 320",,-,-,,0,,1,0,0+,-,,-,"Harvey, Leah, Linus",,
,Common mushroom,above ground Stardew Valley,,"40, 50, 60, 80",,-,-,,3,,1,1,5+,Help wanted,,-,"Harvey, Leah, Linus",,
,Hazelnut,above ground Stardew Valley,,"90, 112, 135, 180",,-,-,,4,,1,1,5+,Help wanted,,-,"Harvey, Leah, Linus",,
,Red mushroom,"Mines (level 27+), Secret woods",,"75, 93, 112, 150",,-,-,,0,,1,2,2+,Help wanted (any season),,-,-,,
,Wild plum,above ground Stardew Valley,,"80, 100, 120, 160",,240 / 210,336 / 294,,2,,1,1,3+,Help wanted,,-,"Elliott, Harvey, Leah, Linus",,
,Cave carrot,Mines (ALL SEASONS),,25,,-,-,,5,,0,1,6+,Help wanted,,-,-,,
,Coconut,Desert (ALL SEASONS),,"100, 125, 150, 200",,300 / 250,420 / 350,,1,,0,1,3+,"Gus ""exotic spirits"" (19 winter, year 2)",,"Haley, Linus","Demetrius, Elliott, Harvey, Jas, Jodi, Kent, Leah, Lewis, Pam, Robin, Sandy, Shane, VIncent",,
FISH,,,,,,,,,,,,,,,,,,,
,Fish,Locations,,Time,Seasons,Weather,Sells for,,Fisher,,Angler,Difficulty,Behavior,# for recipes,# for bundles,Other needs,,Loves,Likes
,Albacore,Ocean,,6am - 11am; 6pm - 2am,"Fall, Winter",-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",60,Mixed,0-3,0,"Gus ""Fish stew"" 26 winter; Help wanted",,-,-
,Anchovy,Ocean,,-,"Spring, Fall",-,sashimi,,sashimi,,sashimi,30,Dart,0-3,0,"Help wanted (sp, fa)",,-,-
,Angler,"North of JojaMart on the wooden plank bridge, stand in the center and cast north. Fishing level 3 required.",,-,Fall,-,"900, 1125, 1350",,"1125, 1406, 1687",,"1350, 1687, 2025",85,Smooth,0,0,-,,-,-
,Carp,"Mountain Lake, Sewers, Secret woods pond",,-,"Spring, Summer, Fall, (Winter SWP)",-,sashimi,,sashimi,,sashimi,15,Mixed,4-7,1,"Help wanted (sp, su, fa)",,-,-
,Catfish,"River (town+forest), witch's swamp, secret woods pond (spring & summer)",,-,"Spring, Fall",Rain,"200, 250, 300",,"250, 312, 375",,"300, 375, 450",75,Mixed,0-3,1,"Help wanted (sp, fa, wi)",,Willy,-
,Eel,Ocean,,4pm - 2am,"Spring, Fall",Rain,"85, 106, 127",,"106, 132, 159",,"127, 159, 191",70,Smooth,2-5,1,"Help wanted (sp, fa)",,-,-
,Red snapper,Ocean,,6am - 7pm,"Summer, Fall, Winter",Rain,"50, 62, 75",,"62, 78, 93",,"75, 93, 112",40,Mixed,0-3,1,Help wanted,,-,-
,Salmon,River (town+forest),,6am - 7pm,Fall,-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",50,Mixed,1-4,0,Help wanted,,-,-
,Sardine,Ocean,,6am - 7pm,"Spring, Fall, Winter",-,Sashimi/Dish o' the Sea,,Dish o' the Sea,,"60, 75, 90",30,Dart,1-4,1,Help wanted (any season),,-,-
,Sea cucumber,Ocean,,6am - 7pm,"Fall, Winter",-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",40,Sinker,1-4,0,Help wanted,,Willy,-
,Shad,River (town+forest),,9am - 2am,"Spring, Summer, Fall",Rain,"60, 75, 90",,"75, 93, 112",,"90, 112, 135",45,Smooth,0-3,1,-,,-,-
,Smallmouth Bass,"River (town), Forest pond",,-,"Spring, Fall",-,"50, 62, 75",,"62, 78, 93",,"75, 93, 112",28,Mixed,0-3,0,"Help wanted (sp, fa)",,-,-
,Super Cucumber,Ocean,,6pm - 2am,"Summer, Fall",-,"250, 312, 375",,"312, 390, 468",,"375, 468, 562",80,Sinker,0-3,0,Help wanted,,Wizard,-
,Tiger trout,River (town+forest),,6am - 7pm,"Fall, Winter",-,"150, 187, 225",,"187, 234, 281",,"225, 281, 337",60,Dart,0-3,1,Help wanted,,-,Willy
,Tilapia,Ocean,,6am - 2pm,"Summer, Fall",-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",50,Mixed,0-3,1,-,,-,-
,Walleye,"River (town), Forest pond, Mountain lake",,12pm - 2am,Fall,Rain,"105, 131, 157",,"131, 164, 196",,"157, 196, 236",45,Smooth,0-3,1,Help wanted,,-,-
,Bream,River (town+forest),,6pm - 2am,-,-,sashimi,,"56, 70, 84",,"67, 84, 101",35,Smooth,1-4,1,Help wanted (any season),,-,-
,Bullhead,Mountain Lake,,-,-,-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",46,Smooth,0-3,1,-,,-,-
,Chub,"River (forest), Mountain lake",,-,-,-,"50, 62, 75",,"62, 78, 93",,"75, 93, 112",35,Dart,0-3,1,Help wanted (any season),,-,-
,Ghostfish,"Mines (20, 60, 100), Ghost drops",,-,-,-,sashimi,,"56, 70, 84",,"67, 84, 101",50,Mixed,0-3,1,-,,-,-
,Ice Pip,Mines (60; level 5 fishing),,-,-,-,"500, 625, 750",,"625, 781, 937",,"750, 937, 1125",85,Dart,0-3,0,-,,-,-
,Largemouth Bass,Mountain lake,,6am - 7pm,-,-,"100, 125, 150",,"125, 156, 187",,"150, 187, 225",50,Mixed,1-4,1,"Jodi quest (4+ <3), Help wanted (any season)",,-,-
,Lava Eel,"Mines (100, level 7 fishing)",,-,-,-,"700, 875, 1050",,"875, 1093, 1312",,"1050, 1312, 1575",90,Mixed,0-3,0,-,,-,-
,Mutant Carp,The sewers,,-,-,-,"1000, 1250, 1500",,"1250, 1562, 1875",,"1500, 1875, 2250",80,Dart,0,0,-,,-,-
,Sandfish,Desert,,6am - 8pm,-,-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",65,Mixed,0-3,1,-,,Penny,-
,Scorpion Carp,Desert (level 4 fishing),,6am - 10pm,-,-,"150, 187, 225",,"187, 234, 281",,"225, 281, 337",90,Dart,0-3,0,-,,-,-
,Slimejack,Mutant bug lair,,6am - 2pm,-,-,"100, 125, 150",,"125, 156, 187",,"150, 187, 225",55,Dart,0-3,0,-,,-,-
,Stonefish,"Mines (20, level 3 fishing)",,-,-,-,"300, 375, 450",,"375, 468, 562",,"450, 562, 675",65,Sinker,0-3,0,-,,-,-
,Void Salmon,Witch's swamp,,-,-,-,"150, 187, 225",,"187, 234, 281",,"225, 281, 337",80,Mixed,0-3,0,-,,-,-
,Woodskip,Secret Woods,,-,-,-,"75, 93, 112",,"93, 117, 140",,"112, 140, 168",50,Mixed,0-3,1,-,,-,-
