Stone x99,Stones,No,,Large Egg (Brown),Chickens,No,,Sandfish,Check Fish Tab,No,,,,,,Maple Syrup,Tapped Maple Tree,No,,,,
Hardwood x10,Stumps/Logs/Mines,No,,Large Egg (White),Chickens,No,,Woodskip,Check Fish Tab,No,,,,,,Fiddlehead Fern,Secret Woods,No,,,,
,,,,Large Goat Milk,Goats,No,,,,,,,,,,Truffle,Pigs,No,,,,
Exotic Foraging Bundle,,,,Wool,"Sheep, Rabbits",No,,Crab Pot Bundle,,,,,,,,Poppy,Summer Crops,No,,,,
Bundle Reward: Autumn's Bounty x5,,,,Duck Egg,Ducks,No,,Bundle Reward: Crab Pot x3,,,,,,,,Maki Roll,Cooking,No,,,,
# of Items Required: 5,,,,,,,,# of Items Required: 5,,,,,,,,Fried Egg,Cooking,No,,,,
Item,Location,Acquired,,Artisan Bundle,,,,Item,Location,Acquired,,,,,,,,,,,,
Coconut,Calico Desert,No,,Bundle Reward: Keg x1,,,,Lobster,Check Fish Tab,No,,,,,,,,,,,,
Cactus Fruit,Calico Desert,No,,# of Items Required: 6,,,,Crayfish,Check Fish Tab,No,,,,,,,,,,,,
Cave Carrot,Mines,No,,Item,Location,Acquired,,Crab Pot Bundle,Check Fish Tab,No,,,,,,,,,,,,
Red Mushroom,Mines/Secret Woods/Shroom Cave,No,,Truffle Oil,Truffle + Oil Maker,No,,Cockle,Check Fish Tab,No,,,,,,,,,,,,
Purple Mushroom,Mines/Shroom Cave,No,,Cloth,Loom,No,,Mussel,Check Fish Tab,No,,,,,,,,,,,,
Maple Syrup,Tapped Maple Tree,No,,Goat Cheese,Cheese Press,No,,Shrimp,Check Fish Tab,No,,,,,,,,,,,,
Oak Resin,Tapped Oak Tree,No,,Cheese,Cheese Press,No,,Snail,Check Fish Tab,No,,,,,,,,,,,,
Pine Tar,Tapped Pine Tree,No,,Honey,Bee House,No,,Periwinkle,Check Fish Tab,No,,,,,,,,,,,,
Morel,Secret Woods/Shroom Cave,No,,Jelly,Preserves Jar,No,,Oyster,Check Fish Tab,No,,,,,,,,,,,,
,,,FALSE,Apple,Apple Trees/Bat Cave,No,,Clam,Check Fish Tab,No,,,,,,,,,,,,
,,,,Apricot,Apricot Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Orange,Orange Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Peach,Peach Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Pomegranate,Pomegranate Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Cherry,Cherry Trees/Bat Cave,No,,,,,,,,,,,,,,,,
